Age,DailyRate,DistanceFromHome,EmployeeCount,HourlyRate,JobInvolvement,JobLevel,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education_2,Education_3,Education_4,Education_5,EnvironmentSatisfaction_2,EnvironmentSatisfaction_3,EnvironmentSatisfaction_4,JobSatisfaction_2,JobSatisfaction_3,JobSatisfaction_4,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3,WorkLifeBalance_2,WorkLifeBalance_3,WorkLifeBalance_4,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,Attrition
41.0,1102,1,1,94,3,2,5993.0,19479.0,8,11,80,8,0,6,4,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
49.0,279,8,1,61,2,2,5130.0,24907.0,1,23,80,10,3,10,7,1,7,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
37.0,1373,2,1,92,2,1,2090.0,2396.0,6,15,80,7,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
33.0,1392,3,1,56,3,1,2909.0,23159.0,1,11,80,8,3,8,7,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
27.0,591,2,1,40,3,1,3468.0,16632.0,9,12,80,6,3,2,2,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
32.0,1005,2,1,79,3,1,3068.0,11864.0,0,13,80,8,2,7,7,3,6,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
58.309999999999945,1324,3,1,81,4,1,2670.0,9964.0,4,20,80,12,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
30.0,1358,24,1,67,3,1,2693.0,13335.0,1,22,80,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38.0,216,23,1,44,2,3,9526.0,8787.0,0,21,80,10,2,9,7,1,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
36.0,1299,27,1,94,3,2,5237.0,16577.0,6,13,80,17,3,7,7,7,7,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35.0,809,16,1,84,4,1,2426.0,16479.0,0,13,80,6,5,5,4,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
29.0,153,15,1,49,2,2,4193.0,12682.0,0,12,80,10,3,9,5,0,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
31.0,670,26,1,31,3,1,2911.0,15170.0,1,17,80,5,1,5,2,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34.0,1346,19,1,93,3,1,2661.0,8758.0,0,11,80,3,2,2,2,1,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28.0,117,24,1,50,2,1,2028.0,12947.0,5,14,80,6,4,4,2,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
29.0,1389,21,1,51,4,3,9980.0,10195.0,1,11,80,10,1,10,9,8,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32.0,334,5,1,80,4,1,3298.0,15053.0,0,12,80,7,5,6,2,0,5,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
22.0,1123,16,1,96,4,1,2935.0,7324.0,1,13,80,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
53.0,1219,2,1,78,2,4,15427.0,22021.0,2,16,80,31,3,25,8,3,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
38.0,371,2,1,45,3,1,3944.0,4306.0,5,11,80,6,3,3,2,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
24.0,673,11,1,96,4,2,4011.0,8232.0,0,18,80,5,5,4,2,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
36.0,1218,9,1,82,2,1,3407.0,6986.0,7,23,80,10,4,5,3,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
34.0,419,7,1,53,3,3,11994.0,21293.0,0,11,80,13,4,12,6,2,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
21.0,391,15,1,96,3,1,1382.46,19281.0,1,14,80,1,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
34.0,699,6,1,83,3,1,2960.0,17102.0,2,11,80,8,2,4,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
53.0,1282,5,1,58,3,5,19094.0,10735.0,4,11,80,26,3,14,13,4,8,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
32.0,1125,16,1,72,1,1,3919.0,4681.0,1,22,80,10,5,10,2,6,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
42.0,691,8,1,48,3,2,6825.0,21173.0,0,11,80,10,2,9,7,4,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
44.0,477,7,1,42,2,3,10248.0,2325.07,3,14,80,24,4,22,6,5,14,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46.0,705,2,1,83,3,5,18947.0,22822.0,3,12,80,22,2,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
33.0,924,2,1,78,3,1,2496.0,6670.0,4,11,80,7,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44.0,1459,10,1,41,3,2,6465.0,19121.0,2,13,80,9,5,4,2,1,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
30.0,125,9,1,83,2,1,2206.0,16117.0,1,13,80,10,5,10,0,1,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39.0,895,5,1,56,3,2,2086.0,3335.0,3,14,80,19,6,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
24.0,813,1,1,61,3,1,2293.0,3020.0,2,16,80,6,2,2,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
43.0,1273,2,1,72,4,1,2645.0,21923.0,1,12,80,6,3,5,3,1,4,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50.0,869,3,1,86,2,1,2683.0,3810.0,1,14,80,3,2,3,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
35.0,890,2,1,97,3,1,2014.0,9687.0,1,13,80,2,3,2,2,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
36.0,852,5,1,82,2,1,3419.0,13072.0,9,14,80,6,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
33.0,1141,1,1,42,4,2,5376.0,3193.0,2,19,80,10,3,5,3,1,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
35.0,464,4,1,75,3,1,1951.0,10910.0,1,12,80,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
27.0,1240,2,1,33,3,1,2341.0,19715.0,1,13,80,1,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26.0,1357,25,1,48,1,1,2293.0,10558.0,1,12,80,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
27.0,994,8,1,37,3,3,8726.0,2975.0,1,15,80,9,0,9,8,1,7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
30.0,721,1,1,58,3,2,4011.0,10781.0,1,23,80,12,2,12,8,3,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
41.0,1360,12,1,49,3,5,19545.0,16280.0,1,12,80,23,0,22,15,14,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
34.0,1065,23,1,72,3,2,4568.0,10034.0,0,20,80,10,2,9,5,8,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
37.0,408,19,1,73,3,1,3022.0,10227.0,4,21,80,8,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
46.0,1211,5,1,98,3,2,5772.0,20445.0,4,21,80,14,4,9,6,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
35.0,1229,8,1,36,4,1,2269.0,4892.0,1,19,80,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
48.0,626,1,1,98,2,3,5381.0,19294.0,9,13,80,23,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
28.0,1434,5,1,50,3,1,3441.0,11179.0,1,13,80,2,3,2,2,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
44.0,1485,1,1,75,3,2,5454.0,4009.0,5,21,80,9,2,4,3,1,3,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35.0,1097,11,1,79,2,3,9884.0,8302.0,2,13,80,10,3,4,0,2,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
26.0,1443,23,1,47,2,2,4157.0,21436.0,7,19,80,5,2,2,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
33.0,515,1,1,98,3,3,13458.0,15146.0,1,12,80,15,1,15,14,8,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
35.0,853,18,1,71,3,3,9069.0,11031.0,1,22,80,9,3,9,8,1,8,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
35.0,1142,23,1,30,3,1,4014.0,16002.0,3,15,80,4,3,2,2,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
31.0,655,7,1,48,3,2,5915.0,9528.0,3,22,80,10,3,7,7,1,7,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37.0,1115,1,1,51,2,2,5993.0,2689.0,1,18,80,7,2,7,5,0,7,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32.0,427,1,1,33,3,2,6162.0,10877.0,1,22,80,9,3,9,8,7,8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
38.0,653,29,1,50,3,2,2406.0,5456.0,1,11,80,10,2,10,3,9,9,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
50.0,989,7,1,43,2,5,18740.0,16701.0,5,12,80,29,2,27,3,13,8,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
